epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.1936,1.37059,2.63806,1.46961,0.38736,0.31545,0.27735,0.17301,1.34344,2.16925,1.50984,0.0059869,0.00199563,0.0059869,0.00199563,0.0059869,0.00199563,0.0059869,0.00199563
2,91.2567,1.3523,1.95237,1.44456,0.45209,0.34087,0.32849,0.19612,1.36671,2.102,1.5384,0.0118682,0.00395608,0.0118682,0.00395608,0.0118682,0.00395608,0.0118682,0.00395608
3,124.851,1.38118,1.83497,1.46229,0.45137,0.36307,0.3483,0.21423,1.40733,1.99619,1.57298,0.0176308,0.00587692,0.0176308,0.00587692,0.0176308,0.00587692,0.0176308,0.00587692
4,156.437,1.39312,1.80162,1.47775,0.46045,0.37179,0.33944,0.19445,1.44232,2.04438,1.62284,0.0232745,0.00775816,0.0232745,0.00775816,0.0232745,0.00775816,0.0232745,0.00775816
5,185.167,1.43423,1.7528,1.50064,0.45842,0.36041,0.34673,0.20241,1.43085,2.03429,1.64019,0.0287994,0.00959981,0.0287994,0.00959981,0.0287994,0.00959981,0.0287994,0.00959981
6,212.681,1.43924,1.73273,1.50707,0.48942,0.37202,0.37156,0.21954,1.44561,1.97626,1.62866,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,240.376,1.40953,1.66414,1.50295,0.52989,0.37577,0.39145,0.24167,1.38057,1.87133,1.57548,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,268.029,1.3956,1.59937,1.47703,0.53424,0.38876,0.40786,0.25555,1.35789,1.83205,1.53099,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,295.388,1.36764,1.56478,1.46809,0.53394,0.40608,0.42693,0.26472,1.36722,1.7353,1.56833,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,323.002,1.36697,1.53585,1.46686,0.5398,0.40354,0.42317,0.26472,1.36499,1.76513,1.54437,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,350.392,1.34907,1.50725,1.45912,0.5475,0.40465,0.42123,0.27059,1.32281,1.75304,1.52954,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,377.688,1.33311,1.48462,1.44438,0.58491,0.40209,0.44285,0.28251,1.32264,1.69505,1.51,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,404.379,1.32081,1.46216,1.43783,0.59156,0.42025,0.45164,0.29029,1.32329,1.67064,1.51639,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,431.364,1.31396,1.44221,1.43188,0.54723,0.42897,0.4527,0.28594,1.33732,1.69679,1.50283,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,458.164,1.3272,1.41619,1.42903,0.57318,0.42462,0.45099,0.28797,1.32924,1.69055,1.51341,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,485.131,1.30379,1.41705,1.42058,0.59849,0.43074,0.46331,0.29864,1.3113,1.66549,1.49554,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,512.282,1.31174,1.41293,1.42176,0.55997,0.41797,0.44776,0.28661,1.33197,1.71015,1.49422,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,539.2,1.31434,1.39577,1.42132,0.60504,0.42831,0.47818,0.30814,1.2897,1.60012,1.46895,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,565.99,1.29437,1.38644,1.41173,0.58943,0.43919,0.47461,0.30397,1.29838,1.63123,1.48032,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,592.529,1.28663,1.35425,1.39867,0.60327,0.42754,0.46805,0.30235,1.29553,1.61048,1.46971,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,618.815,1.28345,1.35449,1.40438,0.61164,0.43606,0.48228,0.31486,1.27615,1.60831,1.45531,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,645.228,1.29107,1.35317,1.40702,0.60065,0.4341,0.47206,0.30613,1.29707,1.63091,1.46954,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,672.26,1.27432,1.3434,1.39899,0.62219,0.44429,0.48896,0.31582,1.28496,1.57607,1.47123,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,699.16,1.29547,1.33765,1.39885,0.5901,0.44829,0.48299,0.3136,1.28354,1.56338,1.46848,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,725.718,1.26901,1.32299,1.38986,0.6124,0.44619,0.48684,0.31905,1.27413,1.54869,1.46066,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,752.532,1.24978,1.30434,1.38473,0.61648,0.43712,0.48214,0.31749,1.28103,1.55639,1.45815,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,779.173,1.24532,1.3016,1.37767,0.59703,0.46131,0.49594,0.32443,1.28055,1.51759,1.45959,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,805.997,1.26845,1.29062,1.38033,0.598,0.45334,0.49294,0.32229,1.26993,1.58841,1.44634,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
